"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"28716",7.3,0.16,8.36,752,211,0.025,0.111,1841,783,"0"
"35702",7.5,0.15,8.35,750,212,0.019,0.096,1390,1162,"0"
"16378",7,0.16,8.3,754,214,0.021,0.114,1827,939,"0"
"7064",6.8,0.16,8.35,749,214,0.015,0.104,1556,835,"0"
"53379",8.1,0.17,8.41,754,211,0.026,0.108,1686,925,"0"
"116006",9.9,0.16,8.45,750,214,0.018,0.092,1331,769,"0"
"59943",8.1,0.16,8.33,757,211,0.032,0.107,1817,1083,"0"
"57509",8,0.16,8.36,754,211,0.018,0.1,1673,864,"0"
"47048",7.7,0.17,8.44,752,211,0.024,0.111,1549,821,"0"
"44958",7.8,0.17,8.4,753,211,0.027,0.113,1572,1078,"0"
"106294",9.7,0.15,8.33,754,210,0.016,0.101,1113,905,"0"
"103526",9.4,0.17,8.38,756,210,0.016,0.108,1517,1075,"0"
"70194",8.3,0.16,8.35,757,210,0.016,0.106,1430,990,"0"
"33123",7.7,0.16,8.31,754,205,0.022,0.112,2287,1217,"0"
"2789",6.5,0.17,8.38,750,214,0.013,0.109,1524,751,"0"
"24063",7,0.16,8.35,754,211,0.024,0.11,1539,971,"0"
"121480",10.4,0.17,8.39,750,214,0.02,0.102,1343,847,"0"
"87948",9,0.17,8.36,756,210,0.014,0.106,1407,797,"0"
"16619",6.9,0.17,8.31,754,211,0.017,0.11,1609,1059,"0"
"99396",9.3,0.16,8.39,756,214,0.015,0.108,1445,1055,"0"
"106928",9.9,0.17,8.39,756,210,0.018,0.11,1388,909,"0"
"77202",8.5,0.16,8.38,754,214,0.015,0.101,1498,1002,"0"
"26821",7.2,0.16,8.36,750,214,0.022,0.099,1428,915,"0"
"80996",8.8,0.16,8.4,755,211,0.014,0.104,1653,820,"0"
"11500",6.7,0.16,8.36,752,210,0.021,0.11,1662,910,"0"
"45360",7.7,0.15,8.39,750,211,0.024,0.104,1491,828,"0"
"28603",7,0.16,8.36,752,211,0.024,0.106,1831,846,"0"
"40560",7.8,0.16,8.37,751,207,0.025,0.113,1937,986,"0"
"43092",7.6,0.16,8.36,754,211,0.025,0.121,1978,866,"0"
"58131",8.2,0.18,8.35,756,212,0.038,0.112,1690,850,"0"
"123540",10.5,0.18,8.39,750,206,0.018,0.099,1500,1078,"0"
"98507",9.1,0.17,8.36,758,214,0.015,0.109,1630,847,"0"
"127745",10.8,0.17,8.39,746,210,0.021,0.091,1177,851,"0"
"64834",8.2,0.17,8.38,757,207,0.025,0.106,1295,841,"0"
"25387",7.1,0.15,8.33,751,211,0.025,0.105,1406,960,"0"
"21611",7.1,0.16,8.24,753,203,0.022,0.109,1458,1024,"0"
"55915",8,0.16,8.33,756,211,0.021,0.111,1476,1011,"0"
"38564",7.5,0.17,8.33,750,211,0.034,0.105,1457,833,"0"
"75778",8.4,0.17,8.43,751,217,0.015,0.101,1269,804,"0"
"56480",8.1,0.17,8.39,754,212,0.021,0.104,1636,1064,"0"
"82766",8.8,0.16,8.41,755,211,0.014,0.1,1578,1052,"0"
"85511",8.9,0.16,8.35,756,203,0.016,0.106,1402,893,"0"
"36305",7.7,0.16,8.34,754,206,0.024,0.114,1914,1141,"0"
"49153",7.9,0.17,8.39,751,211,0.025,0.109,1790,944,"0"
"28315",7.3,0.16,8.32,751,211,0.024,0.104,1598,908,"0"
"48697",7.7,0.17,8.37,752,214,0.022,0.11,1771,1006,"0"
"57833",8.3,0.16,8.33,756,212,0.037,0.109,1769,851,"0"
"109044",9.7,0.17,8.4,754,210,0.015,0.103,1273,841,"0"
"2802",6.5,0.17,8.39,749,214,0.012,0.111,1553,747,"0"
"104551",9.4,0.16,8.35,755,210,0.016,0.102,1395,979,"0"
"93327",9,0.16,8.34,756,214,0.016,0.105,1584,875,"0"
"13258",6.7,0.16,8.34,751,214,0.02,0.104,1376,837,"0"
"34327",7.4,0.17,8.37,754,212,0.076,0.114,1729,1254,"0"
"12952",6.6,0.16,8.37,751,214,0.02,0.106,1462,907,"0"
"15786",7,0.16,8.39,753,211,0.023,0.114,1464,942,"0"
"68957",8.3,0.17,8.36,757,211,0.015,0.106,1431,862,"0"
"4242",6.6,0.17,8.37,750,217,0.016,0.109,1373,702,"0"
"1431",6.6,0.16,8.32,751,205,0.013,0.111,1707,950,"0"
"63734",8.3,0.16,8.36,757,212,0.015,0.108,1668,1011,"0"
"126810",10.8,0.17,8.38,750,210,0.017,0.101,1366,805,"0"
"70439",8.3,0.17,8.39,756,210,0.015,0.105,1549,1009,"0"
"45474",7.7,0.17,8.38,750,214,0.025,0.104,1442,847,"0"
"135309",10.7,0.16,8.39,760,190,0.022,0.106,1671,950,"0"
"38902",7.7,0.18,8.39,747,211,0.021,0.104,2027,39,"0"
"20900",6.9,0.17,8.3,754,210,0.023,0.114,1549,956,"0"
"129454",10.8,0.17,8.37,752,206,0.015,0.102,1680,966,"0"
"124254",10.7,0.17,8.41,750,203,0.016,0.098,1584,895,"0"
"8578",6.7,0.16,8.37,751,211,0.02,0.106,1596,915,"0"
"58022",8.2,0.17,8.36,756,212,0.039,0.111,1724,862,"0"
"62342",8.4,0.17,8.43,755,212,0.026,0.104,1584,1046,"0"
"78692",8.6,0.16,8.44,752,211,0.015,0.098,1505,875,"0"
"39802",7.5,0.17,8.4,753,211,0.026,0.113,1539,1237,"0"
"3337",6.6,0.18,8.35,750,211,0.014,0.108,1550,890,"0"
"1198",6.6,0.16,8.34,751,211,0.014,0.116,1879,951,"0"
"47404",7.7,0.17,8.39,752,211,0.018,0.111,1723,844,"0"
"44932",7.7,0.17,8.39,753,211,0.025,0.113,1738,1087,"0"
"126842",10.8,0.17,8.37,750,210,0.018,0.102,1383,798,"0"
"91422",9,0.17,8.35,757,214,0.016,0.106,1546,895,"0"
"38761",7.5,0.17,8.3,750,211,0.023,0.104,1833,24,"0"
"59613",8.2,0.17,8.35,758,209,0.025,0.113,1899,1084,"0"
"73676",8.6,0.16,8.36,750,211,0.015,0.099,1607,953,"0"
"51190",7.7,0.17,8.49,749,211,0.026,0.106,1620,901,"0"
"117375",9.9,0.16,8.45,751,210,0.017,0.095,1469,956,"0"
"39020",7.7,0.16,8.36,749,212,0.02,0.111,1954,40,"0"
"117946",10,0.17,8.41,753,210,0.017,0.102,1614,943,"0"
"87029",8.7,0.17,8.36,756,210,0.016,0.105,1383,821,"0"
"35128",7.6,0.18,8.27,756,205,0.024,0.124,2001,1202,"0"
"28707",7.3,0.17,8.35,752,211,0.025,0.111,1817,782,"0"
"82480",8.8,0.18,8.45,755,209,0.013,0.102,1569,1048,"0"
"16204",6.9,0.17,8.33,752,211,0.021,0.114,1388,943,"0"
"62901",8.3,0.17,8.33,756,212,0.042,0.104,1313,1130,"0"
"30796",7.5,0.17,8.31,756,209,0.023,0.125,1983,961,"0"
"86871",8.9,0.17,8.34,756,211,0.015,0.106,1459,847,"0"
"49356",7.9,0.17,8.41,751,211,0.026,0.111,1793,945,"0"
"105295",9.5,0.16,8.36,754,210,0.015,0.102,1239,1023,"0"
"21860",7.3,0.16,8.35,753,211,0.023,0.111,1666,1041,"0"
"125432",10.8,0.17,8.39,750,203,0.014,0.101,1557,961,"0"
"128840",10.8,0.16,8.37,751,206,0.018,0.103,1255,861,"0"
"66434",8.2,0.17,8.36,756,207,0.028,0.104,1464,706,"0"
"96238",9,0.17,8.45,753,214,0.016,0.099,1188,827,"0"
"106795",9.8,0.17,8.44,753,207,0.018,0.099,1350,899,"0"
"71276",8.2,0.17,8.37,757,210,0.013,0.104,1653,872,"0"
"53470",8,0.17,8.36,754,211,0.028,0.108,1657,884,"0"
"91016",9,0.16,8.38,756,210,0.015,0.103,1648,901,"0"
"128568",11,0.17,8.35,750,200,0.018,0.098,1326,872,"0"
"3841",6.6,0.17,8.35,749,214,0.017,0.105,1248,870,"0"
"18532",6.8,0.17,8.36,754,210,0.018,0.111,1636,1008,"0"
"45009",7.8,0.16,8.39,753,212,0.027,0.111,1620,1078,"0"
"2501",6.5,0.16,8.36,749,211,0.015,0.106,1446,820,"0"
"116646",9.9,0.17,8.42,752,217,0.017,0.101,1401,814,"0"
"59554",8.3,0.18,8.31,758,209,0.025,0.111,2032,1093,"0"
"39835",7.5,0.17,8.43,751,207,0.029,0.11,1702,1232,"0"
"58436",8,0.16,8.24,755,211,0.02,0.101,1364,1015,"0"
"12946",6.7,0.16,8.36,751,214,0.021,0.106,1460,907,"0"
"135918",10.6,0.17,8.43,758,190,0.023,0.106,1422,806,"0"
"67528",8.2,0.16,8.36,759,211,0.023,0.106,1811,873,"0"
"46788",7.7,0.17,8.38,751,211,0.021,0.113,1478,822,"0"
"49159",7.9,0.17,8.39,752,211,0.028,0.111,1767,939,"0"
"13997",6.7,0.16,8.39,750,217,0.02,0.106,1244,791,"0"
"73933",8.4,0.17,8.41,753,211,0.016,0.109,1773,1003,"0"
"60192",8.1,0.17,8.32,759,211,0.038,0.113,2078,1083,"0"
"25227",7,0.16,8.31,752,211,0.026,0.106,1362,968,"0"
"132584",11,0.16,8.42,748,190,0.019,0.097,1572,995,"0"
"56831",8,0.16,8.33,757,211,0.023,0.111,1539,1059,"0"
"64734",8.3,0.17,8.32,757,211,0.024,0.106,1359,843,"0"
"12221",6.8,0.18,8.34,754,210,0.02,0.114,1642,902,"0"
"70760",8.4,0.17,8.37,756,211,0.015,0.101,1578,1015,"0"
"98532",9.3,0.16,8.34,758,214,0.015,0.109,1636,849,"0"
"97922",9.2,0.17,8.35,758,210,0.015,0.11,1620,849,"0"
"73035",8.3,0.17,8.45,749,217,0.018,0.108,1483,841,"0"
"28069",7.2,0.16,8.36,751,211,0.022,0.106,1561,931,"0"
"82715",8.8,0.16,8.37,755,211,0.013,0.102,1668,1049,"0"
"88027",9,0.16,8.37,756,210,0.015,0.106,1405,800,"0"
"23402",7.1,0.16,8.36,751,211,0.023,0.106,1576,1054,"0"
"44644",7.7,0.17,8.44,754,209,0.025,0.112,1793,947,"0"
"55542",7.9,0.16,8.28,756,211,0.022,0.111,1371,972,"0"
"86281",8.9,0.16,8.39,754,214,0.016,0.097,1486,821,"0"
"74854",8.5,0.17,8.39,752,214,0.015,0.105,1339,862,"0"
"96839",9.3,0.17,8.47,755,210,0.026,0.104,1361,909,"0"
"123037",10.5,0.17,8.35,751,206,0.018,0.105,1372,1054,"0"
"128633",11,0.17,8.4,749,207,0.019,0.099,1332,861,"0"
"67251",8.3,0.17,8.35,756,211,0.02,0.108,1667,861,"0"
"35287",7.5,0.16,8.33,754,209,0.023,0.109,1940,1182,"0"
"130500",10.9,0.16,8.39,751,203,0.019,0.103,1228,1040,"0"
"1748",6.5,0.16,8.29,749,211,0.009,0.111,1511,844,"0"
"9347",6.8,0.17,8.33,751,211,0.02,0.102,1615,1032,"0"
"131186",10.9,0.15,8.36,754,206,0.017,0.111,1443,922,"0"
"36936",7.5,0.17,8.36,754,209,0.024,0.112,1828,1119,"0"
"23202",7.3,0.16,8.28,754,207,0.022,0.113,1638,910,"0"
"49010",7.7,0.17,8.43,751,211,0.025,0.106,1596,1061,"0"
"22130",7.1,0.17,8.3,755,211,0.025,0.116,1747,968,"0"
"87776",9,0.17,8.32,756,214,0.016,0.104,1509,803,"0"
"107803",9.7,0.16,8.36,755,210,0.016,0.102,1611,965,"0"
"33258",7.8,0.16,8.32,756,205,0.021,0.118,2085,1260,"0"
"4421",6.6,0.17,8.38,749,214,0.016,0.106,1336,708,"0"
"64859",8.2,0.17,8.37,757,209,0.026,0.108,1318,840,"0"
"69755",8.3,0.17,8.33,758,200,0.015,0.108,1545,887,"0"
"34966",7.5,0.16,8.3,756,206,0.028,0.118,2048,1332,"0"
"96762",9.3,0.16,8.36,756,214,0.015,0.104,1337,899,"0"
"59814",8.1,0.16,8.32,758,212,0.028,0.109,1885,1087,"0"
"45710",7.6,0.17,8.43,751,211,0.028,0.111,1509,907,"0"
"7966",6.8,0.17,8.35,749,211,0.019,0.109,1708,822,"0"
"60339",8.1,0.15,8.28,760,205,0.032,0.117,2134,1099,"0"
"83575",8.8,0.17,8.41,756,207,0.014,0.105,1388,956,"0"
"96945",9.2,0.17,8.34,757,214,0.026,0.109,1555,913,"0"
"75548",8.5,0.17,8.41,751,217,0.014,0.102,1332,719,"0"
"43645",7.7,0.17,8.42,754,212,0.028,0.112,1835,1192,"0"
"139250",10.1,0.17,8.39,758,193,0.02,0.095,1070,730,"0"
"26903",7.1,0.17,8.31,751,214,0.023,0.105,1406,903,"0"
"1133",6.6,0.18,8.34,751,211,0.017,0.116,1767,959,"0"
"123598",10.5,0.17,8.36,751,210,0.018,0.099,1451,1093,"0"
"38950",7.7,0.17,8.35,747,211,0.021,0.1,1949,39,"0"
"10759",6.8,0.16,8.34,751,214,0.026,0.105,1533,965,"0"
"114171",10,0.17,8.45,754,210,0.018,0.108,1504,932,"0"
"100505",9.3,0.16,8.35,757,214,0.017,0.11,1381,921,"0"
"112963",9.9,0.16,8.39,756,206,0.015,0.109,1561,938,"0"
"81649",8.7,0.16,8.37,754,214,0.015,0.104,1350,1001,"0"
"68254",8.2,0.17,8.36,756,211,0.016,0.104,1283,881,"0"
"80592",8.7,0.17,8.27,758,211,0.015,0.111,1568,793,"0"
"124642",10.7,0.17,8.37,751,207,0.014,0.101,1434,947,"0"
"42834",7.7,0.16,8.37,754,211,0.027,0.11,1932,1063,"0"
"39203",7.8,0.16,8.35,751,214,0.021,0.109,1581,1197,"0"
"41606",7.7,0.16,8.35,751,211,0.026,0.108,1932,418,"0"
"105417",9.7,0.16,8.35,754,210,0.016,0.103,1223,905,"0"
"125024",10.7,0.17,8.37,751,206,0.015,0.102,1510,947,"0"
"21622",7.2,0.16,8.26,753,203,0.022,0.109,1405,1031,"0"
"115486",10,0.16,8.38,753,210,0.016,0.103,1318,702,"0"
"39693",7.6,0.16,8.31,754,211,0.026,0.111,1540,1248,"0"
"19437",6.9,0.16,8.35,754,211,0.029,0.114,1535,1003,"0"
"18953",7.1,0.17,8.3,752,211,0.017,0.114,1572,1019,"0"
"33545",7.6,0.17,8.3,756,206,0.028,0.116,2125,1269,"0"
"94300",9.1,0.17,8.34,756,214,0.015,0.106,1285,944,"0"
"130813",10.9,0.16,8.46,750,203,0.019,0.103,1336,1032,"0"
"109364",9.9,0.16,8.39,752,210,0.015,0.099,1545,844,"0"
"19760",6.9,0.16,8.33,751,210,0.026,0.103,1443,875,"0"
"81895",8.7,0.17,8.35,756,217,0.016,0.109,1543,1005,"0"
"24968",7.1,0.17,8.37,753,211,0.029,0.111,1489,980,"0"
"124369",10.7,0.17,8.37,750,203,0.017,0.102,1505,890,"0"
"86716",9,0.16,8.37,755,211,0.015,0.104,1408,954,"0"
"109688",9.9,0.16,8.34,754,211,0.013,0.101,1436,908,"0"
"117671",10.1,0.17,8.43,752,210,0.018,0.098,1517,934,"0"
"63267",8.3,0.17,8.36,756,211,0.021,0.105,1697,780,"0"
"73388",8.5,0.17,8.36,753,206,0.015,0.11,1653,862,"0"
"29102",7.5,0.16,8.35,752,211,0.024,0.111,1886,798,"0"
"94917",9.1,0.16,8.36,755,217,0.016,0.103,1385,843,"0"
"14588",7,0.17,8.32,754,211,0.018,0.121,1556,864,"0"
"1312",6.6,0.17,8.38,751,207,0.014,0.116,1799,961,"0"
"65295",8.4,0.16,8.35,756,211,0.015,0.106,1292,918,"0"
"6110",6.8,0.17,8.37,750,214,0.017,0.111,1353,820,"0"
"18225",6.9,0.16,8.39,751,210,0.021,0.105,1406,878,"0"
"137824",10.3,0.16,8.41,759,190,0.02,0.103,1439,1134,"0"
"129978",11,0.16,8.39,751,200,0.019,0.095,1468,1067,"0"
"7402",6.9,0.19,8.35,752,211,0.014,0.117,1782,828,"0"
"114504",9.9,0.17,8.43,751,210,0.016,0.097,1414,922,"0"
"77751",8.7,0.17,8.34,760,211,0.04,0.118,2336,10,"0"
"111568",9.7,0.17,8.41,754,210,0.015,0.104,1325,1006,"0"
"38489",7.5,0.16,8.37,750,211,0.037,0.111,1318,827,"0"
"120640",10.3,0.16,8.45,749,210,0.02,0.096,1431,1000,"0"
"42429",7.7,0.16,8.36,754,207,0.031,0.114,1736,1187,"0"
"114420",9.9,0.17,8.43,752,210,0.016,0.095,1466,920,"0"
"95872",9.2,0.16,8.33,756,217,0.016,0.103,1267,936,"0"
"48348",7.7,0.17,8.39,753,211,0.019,0.113,1572,901,"0"
"59813",8.1,0.16,8.32,758,212,0.028,0.109,1865,1084,"0"
"111327",9.8,0.16,8.41,751,210,0.012,0.097,1165,1089,"0"
"34200",7.5,0.17,8.38,752,212,0.025,0.107,1563,1258,"0"
"40092",7.5,0.17,8.34,754,210,0.026,0.113,1679,1217,"0"
"87006",8.7,0.17,8.33,756,210,0.016,0.106,1390,799,"0"
"42945",7.6,0.17,8.35,754,211,0.026,0.113,2062,1071,"0"
"113182",9.9,0.16,8.4,754,206,0.013,0.099,1465,938,"0"
"18838",7.1,0.17,8.35,752,207,0.015,0.109,1552,1009,"0"
"52531",7.7,0.17,8.34,755,207,0.025,0.114,1615,1042,"0"
"46353",7.7,0.16,8.39,751,211,0.025,0.111,1534,740,"0"
"29273",7.4,0.16,8.34,751,211,0.023,0.104,1773,815,"0"
"10079",6.7,0.16,8.35,753,211,0.022,0.111,1597,968,"0"
"131264",10.9,0.16,8.45,751,206,0.018,0.099,1437,928,"0"
"18573",6.8,0.16,8.34,754,210,0.018,0.11,1627,1006,"0"
"72960",8.3,0.17,8.47,748,217,0.016,0.103,1361,1008,"0"
"54139",8,0.17,8.37,755,211,0.022,0.111,1480,1006,"0"
"68974",8.3,0.17,8.36,758,211,0.015,0.106,1500,866,"0"
"118328",10.2,0.16,8.43,750,210,0.017,0.094,1581,937,"0"
"97868",9.2,0.17,8.36,758,210,0.016,0.109,1572,841,"0"
"134758",10.7,0.16,8.41,757,189,0.021,0.105,1465,856,"0"
"64767",8.2,0.16,8.34,758,211,0.025,0.106,1361,850,"0"
"35873",7.5,0.17,8.41,754,209,0.018,0.114,1576,1170,"0"
"5190",6.7,0.16,8.37,750,210,0.017,0.106,1320,815,"0"
"48293",7.7,0.17,8.33,754,211,0.02,0.114,1603,901,"0"
"137061",10.6,0.16,8.39,760,187,0.019,0.109,1540,913,"0"
"86417",8.9,0.17,8.37,755,211,0.022,0.104,1429,822,"0"
"92220",8.9,0.16,8.37,756,214,0.017,0.105,1694,884,"0"
"35999",7.5,0.18,8.36,755,202,0.019,0.116,1863,1181,"0"
"98284",9.2,0.16,8.34,758,217,0.015,0.108,1586,850,"0"
"77478",8.4,0.16,8.35,755,217,0.017,0.106,1480,1009,"0"
"94325",9.1,0.16,8.36,756,214,0.015,0.103,1219,950,"0"
"1088",6.5,0.16,8.31,751,211,0.017,0.111,1642,954,"0"
"98336",9.2,0.17,8.36,757,217,0.015,0.108,1721,857,"0"
"21346",6.8,0.17,8.3,754,210,0.023,0.109,1715,1127,"0"
"52586",7.8,0.18,8.32,754,211,0.025,0.111,1532,876,"0"
"121960",10.4,0.17,8.39,749,206,0.019,0.099,1122,899,"0"
"13466",6.8,0.18,8.35,752,211,0.025,0.111,1425,844,"0"
"28802",7.4,0.17,8.28,754,207,0.025,0.114,1737,783,"0"
"105539",9.6,0.17,8.43,754,210,0.016,0.102,1378,914,"0"
"9390",6.7,0.16,8.35,752,211,0.02,0.106,1603,1031,"0"
"118856",10.2,0.17,8.41,749,210,0.014,0.091,1228,934,"0"
"69915",8.3,0.17,8.39,755,210,0.015,0.104,1410,886,"0"
"76446",8.7,0.17,8.38,755,211,0.018,0.109,1429,913,"0"
"91630",8.9,0.17,8.35,756,214,0.017,0.103,1310,936,"0"
"84221",8.7,0.16,8.36,755,211,0.015,0.105,1326,881,"0"
"111604",9.7,0.17,8.41,754,210,0.015,0.106,1324,1001,"0"
"81888",8.7,0.17,8.36,756,217,0.015,0.109,1532,1006,"0"
"13016",6.7,0.16,8.36,752,214,0.02,0.108,1511,846,"0"
"9667",6.8,0.17,8.38,751,211,0.022,0.106,1481,1020,"0"
"118614",10.2,0.17,8.43,752,210,0.018,0.108,1516,936,"0"
"107918",9.7,0.17,8.39,756,210,0.016,0.105,1561,971,"0"
"38446",7.5,0.15,8.44,750,211,0.039,0.108,1379,837,"0"
"15272",7,0.17,8.25,751,210,0.023,0.109,1229,996,"0"
"91652",8.9,0.17,8.38,754,214,0.015,0.099,1314,938,"0"
"98312",9.2,0.17,8.37,757,217,0.016,0.106,1684,846,"0"
"73011",8.3,0.17,8.45,749,217,0.016,0.106,1413,886,"0"
"378",6.5,0.16,8.3,747,211,0.012,0.111,1494,812,"0"
"132805",10.9,0.16,8.43,751,189,0.019,0.099,1598,833,"0"
"59290",8.3,0.16,8.35,755,212,0.026,0.104,1805,1101,"0"
"49755",7.7,0.17,8.39,751,211,0.027,0.11,1604,832,"0"
"50187",7.7,0.16,8.35,751,214,0.027,0.109,1815,821,"0"
"66585",8.3,0.17,8.38,755,209,0.018,0.105,1517,714,"0"
"84148",8.7,0.17,8.34,756,207,0.016,0.105,1280,881,"0"
"82691",8.8,0.16,8.39,756,211,0.014,0.101,1672,1052,"0"
"67240",8.3,0.17,8.35,757,211,0.019,0.109,1653,858,"0"
"1915",6.5,0.16,8.39,748,211,0.018,0.105,1836,832,"0"
"53755",8,0.17,8.33,755,211,0.024,0.111,1672,1008,"0"
"26082",7.2,0.17,8.34,752,211,0.025,0.113,1500,782,"0"
"25921",7.4,0.16,8.37,751,211,0.025,0.104,1578,785,"0"
"80283",8.6,0.16,8.35,756,214,0.015,0.106,1591,1017,"0"
"117618",10.1,0.17,8.41,751,210,0.018,0.095,1436,938,"0"
"79088",8.5,0.17,8.44,754,211,0.016,0.104,1572,994,"0"
"84306",8.7,0.17,8.37,755,210,0.016,0.102,1307,885,"0"
"27268",7,0.17,8.35,753,211,0.024,0.111,1587,916,"0"
"115239",10,0.17,8.43,754,210,0.016,0.109,1373,937,"0"
"70899",8.4,0.15,8.37,757,211,0.013,0.102,1493,891,"0"
"97028",9.2,0.16,8.33,758,214,0.016,0.109,1532,909,"0"
"116129",9.9,0.17,8.51,749,214,0.017,0.091,1319,810,"0"
"111778",9.9,0.18,8.39,755,206,0.013,0.106,1671,890,"0"
"99394",9.2,0.16,8.39,756,214,0.016,0.108,1355,1043,"0"
"17102",6.9,0.16,8.33,753,210,0.021,0.111,1541,799,"0"
"107401",9.5,0.17,8.34,756,210,0.015,0.108,1445,896,"0"
"67787",8.3,0.17,8.37,758,207,0.025,0.106,1634,881,"0"
"3142",6.6,0.16,8.32,750,211,0.016,0.106,1443,886,"0"
"133370",10.7,0.17,8.4,753,196,0.019,0.103,1278,943,"0"
"33799",7.5,0.17,8.35,755,209,0.024,0.114,2038,1267,"0"
"20821",6.9,0.18,8.26,756,210,0.023,0.121,1665,951,"0"
"68339",8.3,0.16,8.29,758,214,0.016,0.108,1350,890,"0"
"85787",8.8,0.17,8.32,756,211,0.016,0.105,1303,978,"0"
"69184",8.4,0.17,8.31,758,211,0.015,0.109,1599,861,"0"
"44135",7.5,0.16,8.45,751,211,0.027,0.108,1761,990,"0"
"36026",7.6,0.18,8.33,756,206,0.02,0.121,1954,1130,"0"
"78501",8.6,0.17,8.38,754,214,0.015,0.106,1590,855,"0"
"44677",7.7,0.17,8.36,754,211,0.026,0.116,1778,1076,"0"
"54434",8,0.16,8.35,754,211,0.021,0.111,1315,991,"0"
"115952",9.9,0.16,8.42,750,214,0.017,0.092,1353,771,"0"
"120051",10.4,0.17,8.43,750,210,0.016,0.099,1344,922,"0"
"111744",9.8,0.17,8.42,755,206,0.013,0.106,1596,886,"0"
"95984",9.2,0.16,8.37,754,217,0.016,0.099,1245,934,"0"
"29342",7.3,0.16,8.38,751,211,0.023,0.104,1896,938,"0"
"50927",8,0.17,8.49,749,211,0.028,0.109,1859,832,"0"
"69921",8.2,0.17,8.38,756,210,0.015,0.104,1482,898,"0"
"35896",7.6,0.17,8.37,754,209,0.02,0.114,1584,1174,"0"
"9575",6.8,0.16,8.41,748,211,0.02,0.097,1337,1025,"0"
"62918",8.3,0.17,8.34,756,212,0.042,0.104,1359,1128,"0"
"18106",7,0.16,8.33,752,210,0.022,0.111,1418,875,"0"
"14452",7,0.17,8.35,753,211,0.019,0.116,1578,876,"0"
"116626",10,0.18,8.43,751,214,0.017,0.098,1381,821,"0"
"53903",8,0.17,8.34,756,211,0.023,0.112,1608,1005,"0"
"39030",7.7,0.17,8.35,750,214,0.021,0.111,1881,149,"0"
"19289",7.1,0.16,8.31,754,211,0.031,0.11,1657,1018,"0"
"130742",10.8,0.16,8.41,751,203,0.02,0.109,1192,1030,"0"
"135499",10.7,0.16,8.39,760,185,0.021,0.106,1611,954,"0"
"13319",6.8,0.17,8.3,751,214,0.021,0.106,1431,841,"0"
"49460",7.9,0.17,8.36,753,211,0.03,0.117,1743,947,"0"
"91908",9,0.16,8.37,757,217,0.016,0.106,1494,997,"0"
"126054",10.7,0.16,8.38,749,210,0.018,0.098,1401,870,"0"
"113779",9.8,0.16,8.39,753,214,0.018,0.099,1391,928,"0"
"14122",6.7,0.16,8.35,751,214,0.019,0.11,1331,814,"0"
"71639",8.3,0.17,8.37,756,210,0.018,0.106,1449,996,"0"
"125871",10.7,0.16,8.38,750,206,0.018,0.097,1440,966,"0"
"17727",7,0.16,8.31,754,211,0.021,0.114,1734,814,"0"
"112279",9.7,0.16,8.41,752,210,0.016,0.098,1130,994,"0"
"3627",6.5,0.17,8.32,751,214,0.018,0.11,1255,885,"0"
"28485",7,0.17,8.34,752,211,0.025,0.11,1717,850,"0"
"34905",7.5,0.18,8.33,756,202,0.028,0.124,2053,1333,"0"
"20038",6.9,0.17,8.34,751,214,0.024,0.099,1818,875,"0"
"63538",8.2,0.17,8.33,758,205,0.013,0.111,1557,939,"0"
"122714",10.7,0.16,8.34,751,207,0.017,0.099,1451,1000,"0"
"138138",10.2,0.17,8.4,762,190,0.02,0.113,1535,990,"0"
"20533",7.1,0.17,8.33,751,211,0.022,0.106,1775,898,"0"
"82332",8.9,0.16,8.44,755,209,0.013,0.104,1603,1038,"0"
"91665",8.9,0.16,8.35,755,214,0.016,0.103,1337,939,"0"
"13044",6.7,0.17,8.4,751,214,0.019,0.106,1443,846,"0"
"89767",9,0.16,8.39,755,210,0.024,0.103,1552,1011,"0"
"5615",6.7,0.17,8.35,750,214,0.018,0.11,1459,712,"0"
"135307",10.7,0.16,8.39,760,189,0.021,0.108,1694,947,"0"
"13600",6.7,0.17,8.34,753,210,0.02,0.114,1388,866,"0"
"105583",9.7,0.17,8.37,755,210,0.017,0.106,1412,913,"0"
"7905",6.8,0.17,8.33,750,211,0.018,0.106,1561,827,"0"
"21854",7.2,0.18,8.33,753,211,0.024,0.111,1697,1034,"0"
"20979",6.8,0.16,8.31,753,210,0.023,0.114,1559,959,"0"
"48631",7.7,0.16,8.38,752,211,0.022,0.109,1763,1023,"0"
"24423",7.3,0.16,8.34,752,214,0.024,0.111,1442,978,"0"
"119889",10.4,0.17,8.43,751,210,0.017,0.099,1371,918,"0"
"74453",8.3,0.16,8.41,751,210,0.016,0.106,1281,1001,"0"
"41970",7.8,0.16,8.39,754,205,0.027,0.117,1678,1182,"0"
"29048",7.5,0.17,8.39,752,211,0.025,0.114,1788,791,"0"
"19634",6.9,0.16,8.3,752,210,0.024,0.108,1406,1001,"0"
"87467",8.9,0.16,8.36,755,210,0.016,0.104,1310,798,"0"
"97199",9.1,0.17,8.34,757,214,0.015,0.106,1325,835,"0"
"105412",9.7,0.16,8.36,754,210,0.015,0.102,1188,910,"0"
"45655",7.7,0.16,8.42,750,211,0.026,0.111,1501,907,"0"
"133637",10.7,0.16,8.41,753,189,0.023,0.109,1327,937,"0"
